confusion_pair,delta_vs_baseline,metric,source_id,source_type,target_id,value
malignant melanoma->sek,,top1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0
malignant melanoma->sek,,topk,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
malignant melanoma->sek,,malignant_recall,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
malignant melanoma->sek,,error_rate,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
malignant melanoma->sek,,top1_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
malignant melanoma->sek,,error_rate_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
none,,top1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.526316
none,,topk,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.578947
none,,malignant_recall,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.538462
none,,error_rate,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.473684
none,,top1_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
none,,error_rate_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
scc->bcc,,top1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.2
scc->bcc,,topk,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.866667
scc->bcc,,malignant_recall,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
scc->bcc,,error_rate,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.8
scc->bcc,,top1_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
scc->bcc,,error_rate_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
seborrheic keratosis->nev,,top1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0
seborrheic keratosis->nev,,topk,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0
seborrheic keratosis->nev,,malignant_recall,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
seborrheic keratosis->nev,,error_rate,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
seborrheic keratosis->nev,,top1_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
seborrheic keratosis->nev,,error_rate_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
squamous cell carcinoma (scc) cannot be ruled out based on the provided evidence.->bcc,,top1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0
squamous cell carcinoma (scc) cannot be ruled out based on the provided evidence.->bcc,,topk,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
squamous cell carcinoma (scc) cannot be ruled out based on the provided evidence.->bcc,,malignant_recall,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
squamous cell carcinoma (scc) cannot be ruled out based on the provided evidence.->bcc,,error_rate,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
squamous cell carcinoma (scc) cannot be ruled out based on the provided evidence.->bcc,,top1_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
squamous cell carcinoma (scc) cannot be ruled out based on the provided evidence.->bcc,,error_rate_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
squamous cell carcinoma (scc)->bcc,,top1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0
squamous cell carcinoma (scc)->bcc,,topk,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.666667
squamous cell carcinoma (scc)->bcc,,malignant_recall,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
squamous cell carcinoma (scc)->bcc,,error_rate,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
